,course_title,start_date,students_number
0,Java-разработчик c нуля,2016-03-01,0
1,Java-разработчик c нуля,2016-04-01,0
2,Java-разработчик c нуля,2016-05-01,0
3,Java-разработчик c нуля,2016-06-01,0
4,Java-разработчик c нуля,2016-07-01,0
5,Java-разработчик c нуля,2016-08-01,0
6,Java-разработчик c нуля,2016-09-01,0
7,Java-разработчик c нуля,2016-10-01,0
8,Java-разработчик c нуля,2016-11-01,0
9,Java-разработчик c нуля,2016-12-01,0
10,Java-разработчик c нуля,2017-01-01,0
11,Java-разработчик c нуля,2017-02-01,0
12,Java-разработчик c нуля,2017-03-01,0
13,Java-разработчик c нуля,2017-04-01,0
14,Java-разработчик c нуля,2017-05-01,0
15,Java-разработчик c нуля,2017-06-01,0
16,Java-разработчик c нуля,2017-07-01,0
17,Java-разработчик c нуля,2017-08-01,0
18,Java-разработчик c нуля,2017-09-01,0
19,Java-разработчик c нуля,2017-10-01,0
20,Java-разработчик c нуля,2017-11-01,0
21,Java-разработчик c нуля,2017-12-01,0
22,Java-разработчик c нуля,2018-01-01,0
23,Java-разработчик c нуля,2018-02-01,0
24,Java-разработчик c нуля,2018-03-01,0
25,Java-разработчик c нуля,2018-04-01,0
26,Java-разработчик c нуля,2018-05-01,0
27,Java-разработчик c нуля,2018-06-01,0
28,Java-разработчик c нуля,2018-07-01,0
29,Java-разработчик c нуля,2018-08-01,0
30,Java-разработчик c нуля,2018-09-01,0
31,Java-разработчик c нуля,2018-10-01,0
32,Java-разработчик c нуля,2018-11-01,0
33,Java-разработчик c нуля,2018-12-01,0
34,Java-разработчик c нуля,2019-01-01,0
35,Java-разработчик c нуля,2019-02-01,0
36,Java-разработчик c нуля,2019-03-01,165
37,Java-разработчик c нуля,2019-04-01,195
38,Java-разработчик c нуля,2019-05-01,208
39,Java-разработчик c нуля,2019-06-01,276
40,Java-разработчик c нуля,2019-07-01,269
41,Веб-дизайн Базовый,2016-03-01,0
42,Веб-дизайн Базовый,2016-04-01,0
43,Веб-дизайн Базовый,2016-05-01,0
44,Веб-дизайн Базовый,2016-06-01,0
45,Веб-дизайн Базовый,2016-07-01,0
46,Веб-дизайн Базовый,2016-08-01,0
